company,name,technology,type,chp,fuel,secondary_fuel,capacity_mw,grid_connection,country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,lat,lon
SSE Group,Keadby Wind Farm,Wind,Onshore,No,Wind,,68.0,LV,England,Yorkshire and the Humber,,SE829126,481890.0,413515.0,2013.0,WON-000559,53.61179606734913,-0.7636853474568743
SSE Group,Strathy North,Wind,Onshore,No,Wind,,66.0,HV,Scotland,Scotland,,NC820598,281550.0,957550.0,2015.0,WON-000758,58.490004008494275,-4.033588056654732
SSE Group,Dunmaglass Wind Farm,Wind,Onshore,No,Wind,,94.05,HV,Scotland,Scotland,,NH609227,264000.0,820120.0,2016.0,WON-000978,57.25148006944491,-4.255802337851775
SSE Group,Tievenameenta Wind Farm,Wind,Onshore,No,Wind,,34.5,LV,Northern Ireland,Northern Ireland,,NV288423,28892.0,543668.0,2016.0,WON-000979,54.65102890614742,-7.756159027878382
SSE Group,Bhlaraidh Wind Farm,Wind,Onshore,No,Wind,,110.4,HV,Scotland,Scotland,,NH369203,238277.0,816488.0,2017.0,WON-001169,57.2105183823276,-4.679298688607717
SSE Group,Stronelairg Wind Farm,Wind,Onshore,No,Wind,,227.7,HV,Scotland,Scotland,,NH526030,247166.0,806833.0,2018.0,WON-001268,57.126924519131,-4.5263699907224115
SSE Group,Gordonbush Ext,Wind,Onshore,No,Wind,,47.3,HV,Scotland,Scotland,,NC826113,284500.0,909500.0,2021.0,WON-001293,58.059495017871676,-3.9590510483295027
SSE Group,Viking Wind Farm,Wind,Onshore,No,Wind,,443.0,HV,Scotland,Scotland,,HU4380061960,443800.0,1161960.0,2023.0,WON-001600,60.3393253898048,-1.2084285919760123
SSE Group and Equinor,Dogger Bank A,Wind,Offshore,No,Wind,,520.0,HV,England,North East,,OV7000050000,570000.0,550000.0,2024.0,WOF-001577,54.81601388846741,0.6441766741043302
Statkraft,Rheidol Hydro Scheme Gen 4,Hydro,Small Hydro,No,Hydro,,1.25,LV,Wales,Wales,,SN7070479283,270704.1,279283.0,1961.0,HNF-000084,52.396247719009445,-3.9016737862406683
Statkraft,Rheidol Hydro Scheme Gen 3,Hydro,Large Hydro,No,Hydro,,20.5,LV,Wales,Wales,,SN7469283465,274692.2,283465.9,1962.0,HNF-000085,52.43476094334536,-3.8446629221038173
Statkraft,Rheidol Hydro Scheme Gen 1,Hydro,Large Hydro,No,Hydro,,13.5,LV,Wales,Wales,,SN7046679169,270466.4,279169.8,1962.0,HNF-000090,52.3951743644682,-3.9051213214014293
Statkraft,Rheidol Hydro Scheme Gen 2,Hydro,Large Hydro,No,Hydro,,20.5,LV,Wales,Wales,,SN7469283465,274692.2,283465.9,1962.0,HNF-000092,52.43476094334536,-3.8446629221038173
Statkraft,Rheidol Hydro Scheme Gen 5,Hydro,Small Hydro,No,Hydro,,0.075,LV,Wales,Wales,,SN7530383745,275303.2,283745.9,1963.0,HNF-000098,52.437416690056935,-3.835784937083036
Statkraft,Rheidol Hydro Scheme Gen 6,Hydro,Small Hydro,No,Hydro,,0.05,LV,Wales,Wales,,SN7469283465,274692.2,283465.9,1963.0,HNF-000099,52.43476094334536,-3.8446629221038173
Statkraft,Rheidol Hydro Scheme Gen 7,Hydro,Small Hydro,No,Hydro,,0.1,LV,Wales,Wales,,SN7070479283,270704.1,279283.0,1985.0,HNF-000129,52.396247719009445,-3.9016737862406683
Statkraft,Alltwalis,Wind,Onshore,No,Wind,,23.0,HV,Wales,Wales,SA327ED,,246387.0,233404.0,2009.0,WON-000373,51.97780720441368,-4.237982733162494
Statkraft,Baillie,Wind,Onshore,No,Wind,,53.0,HV,Scotland,Scotland,KW147EP,,302550.0,965650.0,2013.0,WON-000511,58.56792108721411,-3.6770209864280057
Statkraft,Berry Burn,Wind,Onshore,No,Wind,,67.0,HV,Scotland,Scotland,IV362QH,,311550.0,840550.0,2014.0,WON-000640,57.446611032979845,-3.4753925365795815
