name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,country,country_long,owner,commissioning_year,source,url,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,generation_gwh_latest
14 Tullywiggan Road,GBR0005673,1.0,54.6221,-6.7398,biomass,,,,GBR,United Kingdom,PAR Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
289 Finvoy Road,GBR0004884,5.9,54.9638,-6.493,solar,,,,GBR,United Kingdom,Lightsource Renewable Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.85,8.83,8.88,8.88,8.95,
30 Acres,GBR0005396,4.965,53.2062,-1.1968,solar,,,,GBR,United Kingdom,Navitas Project,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.09,7.55,7.59,7.61,7.69,
A C Shropshire (Farm AD),GBR0000233,2.5,52.586,-1.2375,biomass,,,,GBR,United Kingdom,PROjEN,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
A'Chruach,GBR0004331,42.6,56.1528,-5.3102,wind,,,,GBR,United Kingdom,Infinis (formerly Novera Energy),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,107.39,
ABP Ellesmere Abbatoir,GBR0006488,1.1,52.8543,-2.8986,biomass,,,,GBR,United Kingdom,ABP Ellesmere,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
AMBLESTON SOLAR PANELS,GBR0001623,6.0,51.8992,-4.8665,solar,,,,GBR,United Kingdom,Arqiva Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.98,9.05,9.04,9.0,9.23,
ANP Newport Wind Turbine,GBR0005555,2.3,51.5559,-2.9738,wind,,,,GBR,United Kingdom,Associated British Ports,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,5.79,
Abbey Farm,GBR0001737,9.0,52.4193,-0.2366,solar,,,,GBR,United Kingdom,Anesco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,13.49,13.41,13.61,13.65,13.68,
Abbey Fields Farm,GBR0005394,5.3,51.3187,0.9029,solar,,,,GBR,United Kingdom,FR Solar Kent PV,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.92,8.07,8.06,8.06,8.14,
Abbots Ann,GBR0004874,7.0,51.1636,-1.5123,solar,,,,GBR,United Kingdom,British Solar Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,10.41,10.48,10.48,10.33,10.69,
Abbots Ripton,GBR0001766,24.66717,52.3787,-0.1982,solar,,,,GBR,United Kingdom,Octopus Investment,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,35.46,35.1,35.62,35.72,36.02,
Abbots Ripton Solar Farm (ext.),GBR0004997,3.9,52.3726,-0.1943,solar,,,,GBR,United Kingdom,Rectory Lane Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,5.76,5.69,5.76,5.77,5.72,
Abbots moor Farm Anaerobic Digester (Farm AD),GBR0000247,1.0,52.839,-2.93,biomass,,,,GBR,United Kingdom,Ms Catherine Suckley,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Abergelli,GBR0001953,7.68222,51.7007,-3.9476,solar,,,,GBR,United Kingdom,Anesco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,11.56,11.31,11.35,11.37,11.52,
Aberporth Solar Farm,GBR0005256,1.5,52.1234,-4.5632,solar,,,,GBR,United Kingdom,JBM Solutions,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,2.13,2.17,2.13,2.14,2.17,
Aberthaw B,GBR1000374,1586.0,51.3873,-3.4049,coal,,,,GBR,United Kingdom,RWE Npower Plc,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,2409.11,
Aberthaw GT,GBR1000375,51.0,51.3875,-3.4068,gas,,,,GBR,United Kingdom,RWE Npower Plc,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,236.64,
Aberthaw Power Station Biomass,GBR0000001,35.0,51.3875,-3.4066,biomass,,,,GBR,United Kingdom,RWE npower,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Abhainn Gleann Nam Fiadh,GBR0000498,2.0,56.7839,-4.7711,hydro,,,,GBR,United Kingdom,Green Highland Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,6.54,5.17,7.13,5.6,5.58,
Achairn,GBR0003285,6.2,58.4385,-3.2015,wind,,,,GBR,United Kingdom,James and Ronald Innes,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,15.62,
Achanalt,GBR0000468,3.0,57.6108,-4.916,hydro,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,12.27,9.41,15.11,10.68,11.03,
Achany,GBR0003205,38.0,58.0019,-4.5,wind,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,95.79,
Acharn Forest Killin Biomass Plant,GBR2001109,5.6,56.4529,-4.3342,biomass,,,,GBR,United Kingdom,Northern Energy Developments,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Achlachan Wind Farm,GBR2001060,10.0,58.4489,-3.4546,wind,,,,GBR,United Kingdom,Whirlwind Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,25.2,
Advanced Manufacturing Research Centre,GBR0003028,2.6,53.3876,-1.3779,wind,,,,GBR,United Kingdom,,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,6.55,
Afton Wind Farm,GBR2001058,50.0,55.3116,-4.1743,wind,,,,GBR,United Kingdom,InfraRed Capital Partners/ E.on,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,126.04,
Agricultural Land at Trecastle,GBR0005150,4.0,51.5238,-3.4252,solar,,,,GBR,United Kingdom,Suncredit UK/ Vogt solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,5.89,5.86,5.87,5.93,5.88,
Aigas,GBR0000398,20.0,57.4574,-4.5453,hydro,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,69.75,53.33,96.63,64.19,64.02,
Aikengall,GBR0004526,48.0,55.9172,-2.4901,wind,,,,GBR,United Kingdom,Community Wind Power (01928 734544),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,121.0,
Aikengall II  Wester Dod Community Wind Farm,GBR0004332,60.8,55.9172,-2.4901,wind,,,,GBR,United Kingdom,Community Windpower,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,153.27,
Airfield Farm (Podington) (Resubmission),GBR0004116,8.6,52.2363,-0.6089,wind,,,,GBR,United Kingdom,Airvolution Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,21.68,
Airfield Farm PV,GBR0001550,5.0,52.4746,0.9501,solar,,,,GBR,United Kingdom,P V Farms 01,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.64,7.59,7.48,7.5,7.6,
Airies Farm,GBR0004462,35.0,54.8021,-4.6577,wind,,,,GBR,United Kingdom,NTR,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,88.23,
Airport Road West,GBR2001107,1.2,54.626,-5.8729,biomass,,,,GBR,United Kingdom,Belfast Harbour Commissioners,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Alan Bartlett & Sons Solar,GBR0001085,1.2,52.4511,0.0379,solar,,,,GBR,United Kingdom,Alan Bartlett & Sons,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,1.67,1.72,1.69,1.69,1.69,
Albrighton Solar farm,GBR0005506,15.8,52.6395,-2.2507,solar,,,,GBR,United Kingdom,Big 60 Million,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,22.91,24.13,23.98,23.93,24.66,
Albury Landfill,GBR0000767,1.5,51.2242,-0.4906,waste,,,,GBR,United Kingdom,SITA UK,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.45,
Aldi - Cardiff,GBR0006486,1.5,51.5002,-3.1181,solar,,,,GBR,United Kingdom,Aldi,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,2.14,2.17,2.13,2.14,2.14,
Aldi Distribution Centre,GBR0005012,1.3,55.8787,-3.6482,solar,,,,GBR,United Kingdom,Aldi,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,1.89,1.72,1.76,1.73,1.67,
Aldi Distribution Centre - Darlington,GBR0001278,1.2,54.5485,-1.5739,solar,,,,GBR,United Kingdom,Aldi,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,1.54,1.66,1.6,1.61,1.6,
Aldi Distribution Centre - Neston,GBR0001390,1.2,53.2894,-3.0322,solar,,,,GBR,United Kingdom,Aldi,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,1.61,1.69,1.68,1.7,1.69,
Aller Court Farm Solar Park,GBR0001646,5.0,51.0576,-2.8652,solar,,,,GBR,United Kingdom,NESF (formerly British Solar Renewables),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.47,7.52,7.46,7.51,7.73,
Allerton Waste Recovery Park (EfW),GBR2001017,27.0,54.0326,-1.3805,waste,,,,GBR,United Kingdom,AmeyCespa,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,26.14,
Allerton Waste Recovery Park (Waste AD),GBR2001011,1.1,54.0326,-1.3805,biomass,,,,GBR,United Kingdom,AmeyCespa,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Allington EFW,GBR0000886,51.0,51.2865,0.4904,waste,,,,GBR,United Kingdom,Kent Enviropower (FCC Environment),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,49.39,
Allt Cheanna Mhuir Hydro,GBR0000502,1.3,56.9748,-5.12,hydro,,,,GBR,United Kingdom,Green Highland Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,3.76,2.87,4.14,3.14,3.13,
Allt Dearg Wind Farmers LLP,GBR0003758,10.8,55.9334,-5.4774,wind,,,,GBR,United Kingdom,Ormsary and Stronachullin Estates (Allt Dearg Wind Farmers LLP),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,27.22,
Allt Fionn - resubmission,GBR0000473,2.1,56.3492,-4.7007,hydro,,,,GBR,United Kingdom,Osspower Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,9.62,7.44,11.12,8.41,8.46,
Allt Garbh hydro,GBR0000454,1.5,57.2559,-5.0186,hydro,,,,GBR,United Kingdom,Green Highland Renewables (on behalf of Highland Hydro Services),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,4.08,2.58,4.65,3.37,3.36,
Allt Ladaidh Hydro,GBR0000488,1.3,57.0604,-4.9225,hydro,,,,GBR,United Kingdom,Green Highland Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,5.69,4.53,7.08,5.21,5.28,
Alltwalis,GBR1000485,23.0,51.8555,-4.3053,wind,,,,GBR,United Kingdom,Statkraft Wind UK Ltd,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,57.98,
Alscot,GBR0006492,1.6,52.175,-1.679,biomass,,,,GBR,United Kingdom,RCMA Stratford,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Altahullion,GBR0003244,26.0,54.9702,-6.9996,wind,,,,GBR,United Kingdom,B9 Energy / RES,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,65.54,
Altahullion Extension,GBR0003575,11.7,54.9626,-7.0341,wind,,,,GBR,United Kingdom,Renewable Energy Systems (RES) / BP Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,29.49,
Altamuskin,GBR0004139,7.1,54.5222,-7.0946,wind,,,,GBR,United Kingdom,Altamuskin Windfarm (Energia),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,17.89,
Altamuskin Extension,GBR0004557,7.1,54.5128,-7.1113,wind,,,,GBR,United Kingdom,Altamuskin Windfarm (Energia),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,17.89,
Altaveedan Wind Farm,GBR0003850,17.9,55.0847,-6.2578,wind,,,,GBR,United Kingdom,NTR PLC,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,45.12,
Alveston Wind Park,GBR0004335,6.9,51.5723,-2.4999,wind,,,,GBR,United Kingdom,Ecotricity,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,17.39,
Amcor Flexibles,GBR0005312,1.7,51.5224,-2.5266,solar,,,,GBR,United Kingdom,Langley Eco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,2.35,2.36,2.36,2.36,2.36,
An Suidhe,GBR0003298,19.3,56.2187,-5.2194,wind,,,,GBR,United Kingdom,RWE npower,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,48.65,
Andershaw,GBR0004110,36.3,55.5093,-3.8463,wind,,,,GBR,United Kingdom,Statkraft UK,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,91.51,
Andover Solar Farm,GBR0001570,5.0,51.2112,-1.5364,solar,,,,GBR,United Kingdom,The Clark Trustees,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.57,7.55,7.48,7.48,7.75,
Anthony Estate Solar Farm - resubmission,GBR0001954,4.7,50.3502,-4.2498,solar,,,,GBR,United Kingdom,St Antony 101 PV Park,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.49,7.56,7.52,7.52,7.52,
Arden Quarry Landfill,GBR0000783,3.1,53.3718,-1.9681,waste,,,,GBR,United Kingdom,Natural Power,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,3.0,
Ardley EfW,GBR0000962,26.0,51.8813,-1.2304,waste,,,,GBR,United Kingdom,Viridor,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,25.18,
Ardley Fields Farm Landfill Site,GBR0000587,1.8,51.9433,-1.2086,waste,,,,GBR,United Kingdom,Haul Waste Limited,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.74,
Ardoch and Over Enoch Wind Farm (Ardoch),GBR0003925,7.2,55.72,-4.2537,wind,,,,GBR,United Kingdom,2020 Renewables/ NTR,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,18.15,
Ardoch and Over Enoch Wind Farm (Over Enoch),GBR0003855,4.3,55.7102,-4.2521,wind,,,,GBR,United Kingdom,2020 Renewables/ NTR,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,10.84,
Ardrossan,GBR0003117,24.0,55.6439,-4.8061,wind,,,,GBR,United Kingdom,Airtricity,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,60.5,
Ardrossan Extension,GBR0004668,6.0,55.6439,-4.8061,wind,,,,GBR,United Kingdom,Airtricity,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,15.12,
Ardtalnaig Hydro Scheme (resubmission),GBR0000476,2.0,56.5256,-4.1335,hydro,,,,GBR,United Kingdom,Achomer Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,6.54,5.17,7.13,5.6,5.58,
Ardtornish Estate-Upgrade to existing,GBR0000482,1.5,56.5583,-5.6873,hydro,,,,GBR,United Kingdom,Ardtornish Estate,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,6.21,4.74,7.7,5.43,5.41,
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),GBR0000897,33.5,53.474,-2.2079,waste,,,,GBR,United Kingdom,Associated Energy Projects plc,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,32.44,
Arecleoch,GBR0003258,120.0,55.0688,-4.7971,wind,,,,GBR,United Kingdom,Scottish Power Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,302.51,
Ark Hill,GBR0004062,6.4,56.5709,-3.0481,wind,,,,GBR,United Kingdom,Green Cat Renewables / Strathmore Estates,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,16.13,
Arkwright Solar Farm,GBR0002107,8.0,53.2479,-1.3464,solar,,,,GBR,United Kingdom,Conergy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,11.3,12.04,12.09,12.08,12.27,
Arla Dairy Site,GBR0004906,5.0,51.8206,-0.7382,biomass,,,,GBR,United Kingdom,Olleco and Arla Foods,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Arlesey Landfill Gas (Extension),GBR0000774,2.3,52.003,-0.2703,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.22,
Arlesey Landfill Site,GBR0000664,1.1,52.0017,-0.2767,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.06,
Armistead Wind Farm,GBR0003986,12.0,54.276,-2.6388,wind,,,,GBR,United Kingdom,Banks Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,30.25,
Arna Wood Solar,GBR0002263,6.2,54.0223,-2.8228,solar,,,,GBR,United Kingdom,BE Renewables (on behalf of Arna Wood),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.82,9.28,9.24,9.32,9.45,
Arnish Moor,GBR0003306,3.9,58.1766,-6.4383,wind,,,,GBR,United Kingdom,Arnish Electric Ltd / Farm Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,9.83,
Arpley Landfill Scheme 'A',GBR0000547,7.9,53.3718,-2.6432,waste,,,,GBR,United Kingdom,NOVERA,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,7.65,
Arpley Landfill Scheme 'B',GBR0000549,7.9,53.3718,-2.6432,waste,,,,GBR,United Kingdom,NOVERA,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,7.65,
Arreton A,WKS0072667,4.0,50.6711,-1.276,solar,,,,GBR,United Kingdom,,,Wiki-Solar,https://www.wiki-solar.org,,,,,,,,5.92,6.03,5.82,5.86,6.02,
Artfield Fell,GBR0004518,19.5,54.9704,-4.7746,wind,,,,GBR,United Kingdom,Scottish and Southern Energy (SSE),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,49.15,
Asfordby North,WKS0066423,3.8,52.7832,-0.9359,solar,,,,GBR,United Kingdom,,,Wiki-Solar,https://www.wiki-solar.org,,,,,,,,5.43,5.57,5.68,5.69,5.62,
Ashby,GBR0005273,4.954,52.7227,-1.4853,solar,,,,GBR,United Kingdom,Primrose Solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.21,7.49,7.55,7.54,7.67,
Ashlawn Farm,GBR0002375,6.8,51.2557,-2.9041,solar,,,,GBR,United Kingdom,,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,9.97,9.99,9.98,10.18,10.16,
Askern,GBR0002213,4.9737,53.6208,-1.1602,solar,,,,GBR,United Kingdom,Anesco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.08,7.6,7.49,7.48,7.66,
Aspatria,GBR0002007,19.0,54.778,-3.3241,solar,,,,GBR,United Kingdom,United Photovoltaics,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,26.61,28.39,27.45,27.8,28.75,
Aspatria Creamery,GBR0005516,5.0,54.7581,-3.3309,biomass,,,,GBR,United Kingdom,First Milk Cheese Company,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Assel Valley,GBR0004645,27.6,55.2265,-4.7787,wind,,,,GBR,United Kingdom,Falck Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,69.57,
Astley Solar Farm,GBR0005266,5.0,52.4672,-2.3239,solar,,,,GBR,United Kingdom,Rockfire Capital,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.12,7.63,7.57,7.55,7.75,
Aston House Solar Farm,GBR0001955,20.0,52.8817,-1.743,solar,,,,GBR,United Kingdom,Solar century / Magnetar Solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,29.24,30.67,30.31,30.26,30.85,
Atherstone,GBR0002278,14.7,52.6131,-1.559,solar,,,,GBR,United Kingdom,Foresight Solar Fund,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,21.66,22.25,22.55,22.35,22.92,
Attlebridge Landfill Site,GBR0000509,1.3,52.6999,1.1776,waste,,,,GBR,United Kingdom,Renewable Power Generation Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.25,
Auchadaduie Wind Farm,GBR2001055,6.9,55.5447,-5.6602,wind,,,,GBR,United Kingdom,Fyne Futures,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,17.39,
Auchencarroch Landfill,GBR0000688,2.1,55.9968,-4.5334,waste,,,,GBR,United Kingdom,Auchencarroch Energy Ltd / CLP,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.03,
Auchencarroch Landfill Extension,GBR0000786,2.0,55.9972,-4.5326,waste,,,,GBR,United Kingdom,Auchencarroch Energy Ltd/CLP,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.93,
Auchinderran Wind Farm,GBR0003806,2.4,57.5814,-2.6468,wind,,,,GBR,United Kingdom,Green Cat Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,6.05,
Auchinlea Landfill Site,GBR0000716,2.3,55.8096,-3.9004,waste,,,,GBR,United Kingdom,Natural Power,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.22,
Auchrobert Wind Farm,GBR0004337,36.0,55.624,-3.9842,wind,,,,GBR,United Kingdom,Falck Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,90.75,
Austrey House Farm,GBR0005668,1.5,52.6438,-1.558,biomass,,,,GBR,United Kingdom,William Corbett Farms,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Aveley,GBR0000514,1.2,51.504,0.2333,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.16,
Aveley Landfill Scheme,GBR0000510,2.1,51.5039,0.2348,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.03,
Avenue Farm,GBR0001909,7.3,52.5757,1.389,solar,,,,GBR,United Kingdom,Lightsource Renewable Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,10.98,11.03,10.78,10.81,10.93,
Averhill Farm,GBR0005287,5.0,53.1481,-1.387,solar,,,,GBR,United Kingdom,Lightsource Renewable Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.14,7.6,7.64,7.64,7.74,
Avondale,GBR0000639,4.0,55.905,-3.945,waste,,,,GBR,United Kingdom,Shanks Avondale,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,3.87,
