name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,country,country_long,owner,commissioning_year,source,url,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,generation_gwh_latest
Deanie,GBR1000381,38.0,57.5167,-4.9333,hydro,,,,GBR,United Kingdom,Scottish and Southern: Hydro Schemes - Affric/Beauly,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,123.9,97.54,138.94,105.64,105.35,
Decoy Farm,GBR0002332,5.0,52.698,-0.1329,solar,,,,GBR,United Kingdom,Push Energy/ NESF,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.57,7.47,7.6,7.62,7.61,
Decoy Farm (Farm AD),GBR0000367,1.8,52.6969,-0.1371,biomass,,,,GBR,United Kingdom,Organic Recycling,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Decoy Farm House Solar Modules,GBR0001987,6.0,50.8291,-0.692,solar,,,,GBR,United Kingdom,Ms Power Projects Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.84,9.04,9.0,9.02,9.22,
Deep Moor Gas to Energy,GBR0000609,2.0,50.9722,-4.0994,waste,,,,GBR,United Kingdom,DEVON WASTE MANAGEMENT LTD,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.93,
Deepdale Farm,GBR0002204,8.0,53.0276,-0.3991,solar,,,,GBR,United Kingdom,Deepdale Farm Solar Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,11.47,11.88,12.12,12.12,12.26,
Deephams Sewerage Treatment Works,GBR0006491,3.0,51.6265,-0.0415,biomass,,,,GBR,United Kingdom,Thames Water Utilities,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Deeping,GBR0003609,16.0,52.7326,-0.2257,wind,,,,GBR,United Kingdom,Wind Prospect Developments,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,40.33,
Deerdykes Composting and Organics Recycling Facility (Waste AD),GBR0000210,1.0,55.9704,-3.9575,biomass,,,,GBR,United Kingdom,Scottish Water Solutions,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Deerplay Landfill Site,GBR0000576,2.0,53.7509,-2.2199,waste,,,,GBR,United Kingdom,CAIRD ENVIRONMENTAL LTD,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.93,
Deeside,GBR2000262,515.0,53.2332,-3.0547,gas,,,,GBR,United Kingdom,,,,,,,,,,,,,,,,2389.62,
Delabole (Repowering),GBR0003019,9.2,50.6378,-4.7053,wind,,,,GBR,United Kingdom,Good Energy Generation,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,23.19,
Den Brook,GBR0004266,18.0,50.7801,-3.8666,wind,,,,GBR,United Kingdom,Aviva,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,45.37,
Dengemarsh Road,GBR0006376,1.0,50.9351,0.9099,solar,,,,GBR,United Kingdom,Tudor Roof Tile Co,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,1.49,1.53,1.5,1.49,1.53,
Denhill,GBR0003403,2.3,57.4112,-2.341,wind,,,,GBR,United Kingdom,,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,5.79,
Denzell Downs Windfarm,GBR0004651,10.2615,50.4659,-4.9615,wind,,,,GBR,United Kingdom,REG Windpower / BlackRock,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,25.86,
Derby Sewage Treatment Works,GBR0004068,5.0,52.9081,-1.4131,wind,,,,GBR,United Kingdom,Severn Trent Water,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,12.6,
Derriford Hospital,GBR0000064,1.5,50.4167,-4.1137,biomass,,,,GBR,United Kingdom,Plymouth Hospital NHS Trust,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Derriton Fields Solar Farm,GBR0001648,11.8,50.8026,-4.3678,solar,,,,GBR,United Kingdom,Sunsave 12 (Derriton Fields) Limited./ Vogt solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,17.73,18.16,17.94,18.09,18.65,
Derrydarroch,GBR0000474,1.9,56.8322,-5.0801,hydro,,,,GBR,United Kingdom,Darroch Power Limited,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,8.36,7.0,9.11,8.0,7.98,
Dersalloch,GBR0004269,69.0,55.3043,-4.4882,wind,,,,GBR,United Kingdom,Scottish Power Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,173.94,
Desford Solar Farm,GBR0001885,5.0,52.64,-1.2586,solar,,,,GBR,United Kingdom,Trina Solar,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.22,7.47,7.64,7.64,7.74,
Deucheran Hill,GBR0003554,15.75,55.6293,-5.544,wind,,,,GBR,United Kingdom,Powergen Renewables,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,39.7,
Deuchries,GBR2001061,6.9,57.5907,-2.6157,wind,,,,GBR,United Kingdom,Force 9 Energy / Catamount Energy/ Green Cat,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,17.39,
Dewlay Cheese,GBR0003078,2.0,53.8883,-2.786,wind,,,,GBR,United Kingdom,Dewlay Cheese Company,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,5.04,
Diageo Biomass Energy Project,GBR0000172,5.5,56.1897,-3.0559,biomass,,,,GBR,United Kingdom,Diageo,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Didcot B,GBR1000369,1470.0,51.6246,-1.2683,gas,,,,GBR,United Kingdom,RWE Npower Plc,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,6820.88,
Didcot GT,GBR1000377,100.0,51.6246,-1.2683,gas,,,,GBR,United Kingdom,RWE Npower Plc,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,464.0,
Dillington,WKS0063153,5.4,50.944,-2.893,solar,,,,GBR,United Kingdom,,,Wiki-Solar,https://www.wiki-solar.org,,,,,,,,8.03,8.15,8.02,8.05,8.32,
Dimmer Anaerobic Digestor (Waste AD),GBR0000294,3.0,51.0801,-2.5561,biomass,,,,GBR,United Kingdom,Viridor / Wyvern Waste Services,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Dimmer Landfill Gas Scheme,GBR0000592,2.3,51.0761,-2.5538,waste,,,,GBR,United Kingdom,NOVERA,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.22,
Dimmer Landfill Site,GBR0000593,1.9,51.0752,-2.5538,waste,,,,GBR,United Kingdom,Gengas Ltd,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.84,
Dinorwig,GBR1000151,1800.0,53.1181,-4.1032,hydro,,,,GBR,United Kingdom,ENGIE,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,6890.49,3599.68,6509.32,4881.59,4969.86,
Dinorwig,GBR2001139,1728.0,53.1186,-4.1139,hydro,,,,GBR,United Kingdom,First Hydro Company,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,6614.87,3455.69,6248.95,4686.33,4771.07,
Discovery Park,GBR2001005,16.0,51.2839,1.3457,biomass,,,,GBR,United Kingdom,Burmeister & Wain Scandinavian Contractor (BWSC),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Distington Landfill,GBR0000568,1.8,54.6044,-3.5109,waste,,,,GBR,United Kingdom,THOMAS GRAVESON LTD,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.74,
Docksway Landfill Scheme,GBR0000756,2.0,51.5623,-3.004,waste,,,,GBR,United Kingdom,Renewable Power Systems,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.93,
Dogsthorpe South Landfill Site,GBR0000525,1.9,52.6015,-0.2222,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.84,
Dogsthorpe South Landfill Site 2,GBR0000638,1.4,52.602,-0.2214,waste,,,,GBR,United Kingdom,Shanks Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,1.35,
Dolgarrog,GBR2001081,32.0,53.1912,-3.8426,hydro,,,,GBR,United Kingdom,RWE,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,92.6,65.1,131.32,87.04,75.29,
Dolmans Hill (Redbridge Farm) Solar Arrays,GBR0001589,5.0,50.7504,-2.1031,solar,,,,GBR,United Kingdom,,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.49,7.63,7.62,7.64,7.68,
Donich Water Hydro,GBR0000450,1.4,56.1726,-4.8768,hydro,,,,GBR,United Kingdom,Gilkes Energy/Broadland Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,6.53,5.48,8.28,6.24,6.24,
